"Additional Modules Actions","Additional Modules Actions"
"Allow","Allow"
"Allow Actions","Allow Actions"
"Allow Pages","Allow Pages"      
"Contacts","Contacts"
"Contacts Page","Contacts Page"
"Customer Account Confirmation","Customer Account Confirmation"
"Customer Account Create","Customer Account Create"
"Customer Account Forgot Password","Customer Account Forgot Password"
"Customer Account Login","Customer Account Login"
"Customer Service","Customer Service     "
"Disable All","Disable All"
"Enable Cookies","Enable Cookies"
"Enable Login Check","Enable Login Check"
"General Login Check Configuration","General Login Check Configuration"
"Home","Home"
"Login","Login"
"Login Check Actions","Login Check Actions"
"Login Check Pages","Login Check Pages"            
"Login or Create an Account","Login or Create an Account"
"Login Protect","Login Protect"
"No","No"
"Select 'Yes' to stop users accessing the catalog without logging in.","Select 'Yes' to stop users accessing the catalog without loging in."
"Select(Ctrl + Click to select more then one) the pages users can access without logging in.","Select(Ctrl + Click to select more then one) the pages users can access without logging in. "
"Select(Ctrl + Click to select more then one) the actions users can access without logging in.","Select(Ctrl + Click to select more then one) the actions users can access without logging in."
"System/Configuration/Web/Default Pages/CMS Home Page identifier is '%s'. You should allow this page or set CMS Home Page to some page you allow here to avoid this requests being forwarded to the Customer Login page.","System/Configuration/Web/Default Pages/CMS Home Page identifier is '%s'. You should allow this page or set CMS Home Page to some page you allow here to avoid this requests being forwarded to the Customer Login page."
"Select 'Yes' to stop users accessing the contacts page without logging in.","Select 'Yes' to stop users accessing the contacts page without logging in."
"URL","URL"
"WMD Login Check","WMD Login Check"
"Yes","Yes"
